"lon","lat","iso3c","type"
144.716951,-38.148922,"AUS","bivalve"
133.939651986146,-32.3771483256713,"AUS","bivalve"
137.77839875558,-34.9184420722045,"AUS","bivalve"
137.771916429757,-35.7794396296278,"AUS","bivalve"
136.924417900667,-33.6931626578032,"AUS","bivalve"
133.940392598349,-32.3760785472729,"AUS","bivalve"
133.935701320469,-32.3734163582936,"AUS","bivalve"
134.185078697131,-32.8028308075505,"AUS","bivalve"
135.463661666213,-34.6245502292662,"AUS","bivalve"
136.916789209947,-33.6797929374625,"AUS","bivalve"
135.398140081877,-34.5513195924049,"AUS","bivalve"
135.462885383204,-34.6186804853317,"AUS","bivalve"
133.940796487284,-32.3774179110106,"AUS","bivalve"
136.902595428385,-33.716984628037,"AUS","bivalve"
137.783654810951,-34.9076237288753,"AUS","bivalve"
135.461923281334,-34.6234715402284,"AUS","bivalve"
136.92673532055,-33.6759410396082,"AUS","bivalve"
133.940057955776,-32.3777554173059,"AUS","bivalve"
135.388348567133,-34.5217557062022,"AUS","bivalve"
136.926239525765,-33.6774462375749,"AUS","bivalve"
133.940784303571,-32.3768302632481,"AUS","bivalve"
135.462962269543,-34.6251258972591,"AUS","bivalve"
135.462795188882,-34.6198653105339,"AUS","bivalve"
133.940921171255,-32.3779085349619,"AUS","bivalve"
-123.510133138357,48.898686300719,"CAN","bivalve"
-124.234742775174,49.5007960387272,"CAN","bivalve"
-124.599036410855,49.3914335538867,"CAN","bivalve"
-127.025939686399,50.6350541067438,"CAN","bivalve"
-123.802128337496,49.1004263263481,"CAN","bivalve"
-124.92511575699,49.6421891631627,"CAN","bivalve"
-125.135915989768,48.8352443730984,"CAN","bivalve"
-71.5051920880239,-30.2584039287284,"CHL","bivalve"
-71.5063733607883,-30.2586476114325,"CHL","bivalve"
-73.3638886446215,-39.8874857168393,"CHL","bivalve"
-73.2044405986634,-39.4428543557413,"CHL","bivalve"
-73.7293998967068,-42.8614216689061,"CHL","bivalve"
-73.7763275512362,-42.5433405444276,"CHL","bivalve"
-73.7732429580117,-42.5433124030589,"CHL","bivalve"
-73.5138680581834,-42.4080014380122,"CHL","bivalve"
-73.07783397805,-41.8158912761933,"CHL","bivalve"
-73.4272604950885,-38.7454223780522,"CHL","bivalve"
-71.535048136203,-30.2716223717218,"CHL","bivalve"
-71.5258954368,-30.2787688280496,"CHL","bivalve"
-70.6072663862264,-23.4697432656095,"CHL","bivalve"
