"","lon","lat","iso3c","data_quality","action_needed","subregion"
"1",119.910417,26.377611,"CHN",5,"Land mask",NA
"2",174.467739,-32.878411,"NZL",5,"Land mask",NA
"3",174.467739,-35.878411,"NZL",5,"Land mask",NA
"4",19.298,-34.628028,"ZAF",5,"Land mask",NA
"5",144.716951,-38.148922,"AUS",5,"Land mask",NA
"6",126.606565,34.289912,"KOR",5,"Land mask",NA
"7",126.592819,34.145438,"KOR",5,"Land mask",NA
"8",126.590008,34.150024,"KOR",5,"Land mask",NA
"9",126.589603,34.149812,"KOR",5,"Land mask",NA
"10",126.333927,34.144839,"KOR",5,"Land mask",NA
"11",126.572214,34.242001,"KOR",5,"Land mask",NA
"12",126.551367,34.203549,"KOR",5,"Land mask",NA
"13",126.562137,34.243982,"KOR",5,"Land mask",NA
"14",126.539406,34.223151,"KOR",5,"Land mask",NA
"15",126.511057,34.111471,"KOR",5,"Land mask",NA
"16",126.643905,34.300802,"KOR",5,"Land mask",NA
"17",126.857892,34.194482,"KOR",5,"Land mask",NA
"18",126.5315,34.227583,"KOR",5,"Land mask",NA
"19",126.525422,34.226917,"KOR",5,"Land mask",NA
"20",126.508333,34.170556,"KOR",5,"Land mask",NA
"21",126.525189,34.177622,"KOR",5,"Land mask",NA
"22",126.579711,34.139667,"KOR",5,"Land mask",NA
"23",126.581806,34.141722,"KOR",5,"Land mask",NA
"24",126.588081,34.148767,"KOR",5,"Land mask",NA
"25",126.914342,34.1905,"KOR",5,"Land mask",NA
"26",126.850889,34.199611,"KOR",5,"Land mask",NA
"27",125.851669,34.196433,"KOR",5,"Land mask",NA
"28",126.901597,34.213853,"KOR",5,"Land mask",NA
"29",127.005333,34.371944,"KOR",5,"Land mask",NA
"30",127.010361,34.378333,"KOR",5,"Land mask",NA
"31",126.856056,34.357083,"KOR",5,"Land mask",NA
"32",119.805278,26.271944,"CHN",5,"Land mask",NA
"33",19.221261,-34.435247,"ZAF",5,"Land mask",NA
"34",119.85,26.383333,"CHN",5,"Land mask",NA
"35",141.441877,38.331757,"JPN",5,"Land mask",NA
"36",141.446626,38.343373,"JPN",5,"Land mask",NA
"37",141.447977,38.352897,"JPN",5,"Land mask",NA
"38",141.444739,38.350047,"JPN",5,"Land mask",NA
"39",141.440841,38.347323,"JPN",5,"Land mask",NA
"40",141.441491,38.341894,"JPN",5,"Land mask",NA
"41",141.43358,38.334714,"JPN",5,"Land mask",NA
"42",141.421392,38.339423,"JPN",5,"Land mask",NA
"43",141.429202,38.343765,"JPN",5,"Land mask",NA
"44",141.419564,38.345788,"JPN",5,"Land mask",NA
"45",141.409516,38.348085,"JPN",5,"Land mask",NA
"46",141.421643,38.357131,"JPN",5,"Land mask",NA
"47",141.416238,38.360655,"JPN",5,"Land mask",NA
"48",141.423904,38.362512,"JPN",5,"Land mask",NA
"49",141.433096,38.364239,"JPN",5,"Land mask",NA
"50",141.413167,38.339667,"JPN",5,"Land mask",NA
"51",141.435166,38.367158,"JPN",5,"Land mask",NA
"52",141.4489,38.371301,"JPN",5,"Land mask",NA
"53",141.450114,38.371291,"JPN",5,"Land mask",NA
"54",141.405484,38.356877,"JPN",5,"Land mask",NA
"55",141.419162,38.334987,"JPN",5,"Land mask",NA
"56",141.430035,38.328863,"JPN",5,"Land mask",NA
"57",141.436564,38.325418,"JPN",5,"Land mask",NA
"58",141.41,38.380667,"JPN",5,"Land mask",NA
"59",141.2804,38.2268,"JPN",5,"Land mask",NA
"60",141.417457,38.371653,"JPN",5,"Land mask",NA
"61",141.426926,38.373409,"JPN",5,"Land mask",NA
"62",141.444135,38.373711,"JPN",5,"Land mask",NA
"63",141.450659,38.371302,"JPN",5,"Land mask",NA
"64",141.45311,38.371712,"JPN",5,"Land mask",NA
"65",141.441611,38.375298,"JPN",5,"Land mask",NA
"66",141.422551,38.380157,"JPN",5,"Land mask",NA
"67",141.401962,38.367046,"JPN",5,"Land mask",NA
"68",141.420073,38.383456,"JPN",5,"Land mask",NA
"69",141.421746,38.388266,"JPN",5,"Land mask",NA
"70",141.41032,38.378755,"JPN",5,"Land mask",NA
"71",141.390772,38.373649,"JPN",5,"Land mask",NA
"72",141.401662,38.388754,"JPN",5,"Land mask",NA
"73",141.389538,38.380142,"JPN",5,"Land mask",NA
"74",141.3475,38.411333,"JPN",5,"Land mask",NA
"75",141.343333,38.399833,"JPN",5,"Land mask",NA
"76",141.366097,38.39664,"JPN",5,"Land mask",NA
"77",141.38897,38.431174,"JPN",5,"Land mask",NA
"78",141.379084,38.425652,"JPN",5,"Land mask",NA
"79",141.364823,38.386851,"JPN",5,"Land mask",NA
"80",141.426688,38.301731,"JPN",5,"Land mask",NA
"81",141.379333,38.4145,"JPN",5,"Land mask",NA
"82",141.385667,38.415667,"JPN",5,"Land mask",NA
"83",141.386167,38.415,"JPN",5,"Land mask",NA
"84",141.355255,38.399389,"JPN",5,"Land mask",NA
"85",-81.110611,-5.832639,"PER",5,"Land mask",NA
"86",-113.149167,26.788333,"MEX",5,"Land mask",NA
"87",119.32575,35.035083,"CHN",5,"Land mask",NA
"88",-78.439947,-9.345117,"PER",5,"Land mask",NA
"89",-78.452169,-9.362617,"PER",5,"Land mask",NA
"90",-78.450733,-9.333749,"PER",5,"Land mask",NA
"91",-78.436613,-9.338728,"PER",5,"Land mask",NA
"92",-78.460586,-9.334895,"PER",5,"Land mask",NA
"93",-78.461312,-9.354996,"PER",5,"Land mask",NA
"94",-1.193911,45.792117,"FRA",5,"Land mask",NA
"95",-1.193912,45.792118,"FRA",5,"Land mask",NA
"96",-1.193912,45.792118,"FRA",5,"Land mask",NA
"97",0.672467,46.32255,"FRA",5,"Land mask",NA
"98",-1.193911,45.792117,"FRA",5,"Land mask",NA
"99",0.672467,46.32255,"FRA",5,"Land mask",NA
