lat,lon,iso3c,data_quality,action_needed
38.345509445679276,-0.48793746088812184,ESP,2,state/province based suitability
36.83403538312481,-2.46312530015449,ESP,2,state/province based suitability
43.6586646127094,-5.838989914402157,ESP,2,state/province based suitability
39.578993240236755,2.6312097506887446,ESP,2,state/province based suitability
36.55518316813145,-6.2759664948571094,ESP,2,state/province based suitability
43.488143305644364,-3.808940707432179,ESP,2,state/province based suitability
39.98227981322492,0.025845987383098443,ESP,2,state/province based suitability
41.893397069777485,3.1931418366760647,ESP,2,state/province based suitability
36.69547948740147,-3.403621978170133,ESP,2,state/province based suitability
43.36941893593161,-8.412121809979775,ESP,2,state/province based suitability
28.17841973419213,-15.411897095500123,ESP,2,state/province based suitability
36.705816371679525,-4.422146790963811,ESP,2,state/province based suitability
42.42511968211785,-8.658739084602496,ESP,2,state/province based suitability
28.464013540472575,-16.25186419732133,ESP,2,state/province based suitability
41.109958666992036,1.2538616546744752,ESP,2,state/province based suitability
39.47564987283762,-0.3208672158378773,ESP,2,state/province based suitability
43.436972390962005,-2.9200783381913014,ESP,2,state/province based suitability
